scope,author,cwe,count
ALL,qwen,CWE-470,3
ALL,qwen,CWE-489,37
ALL,qwen,CWE-501,1
ALL,qwen,CWE-502,2
ALL,qwen,CWE-532,30
ALL,qwen,CWE-611,17
ALL,qwen,CWE-614,1
ALL,qwen,CWE-649,1
ALL,qwen,CWE-676,52
ALL,qwen,CWE-706,2
ALL,qwen,CWE-732,1
ALL,qwen,CWE-754,1
ALL,qwen,CWE-78,37
ALL,qwen,CWE-787,2
ALL,qwen,CWE-79,2
ALL,qwen,CWE-798,3
ALL,qwen,CWE-89,5
ALL,qwen,CWE-95,3
c,human,CWE-120,47
c,human,CWE-125,2
c,human,CWE-126,36
c,human,CWE-134,2
c,human,CWE-14,1
c,human,CWE-190,2
c,human,CWE-20,10
c,human,CWE-22,1
c,human,CWE-327,3
c,human,CWE-362,9
c,human,CWE-377,1
c,human,CWE-415,1
c,human,CWE-467,1
c,human,CWE-676,28
c,human,CWE-732,1
c,human,CWE-78,3
c,openai,CWE-120,73
c,openai,CWE-125,2
c,openai,CWE-126,50
c,openai,CWE-190,6
c,openai,CWE-20,10
c,openai,CWE-327,1
c,openai,CWE-328,2
c,openai,CWE-362,25
c,openai,CWE-377,2
c,openai,CWE-476,1
c,openai,CWE-676,27
c,openai,CWE-732,1
c,openai,CWE-78,8
c,dsc,CWE-120,83
c,dsc,CWE-125,2
c,dsc,CWE-126,49
c,dsc,CWE-190,4
c,dsc,CWE-20,9
c,dsc,CWE-22,1
c,dsc,CWE-327,7
c,dsc,CWE-328,1
c,dsc,CWE-362,20
c,dsc,CWE-377,1
c,dsc,CWE-476,1
c,dsc,CWE-676,63
c,dsc,CWE-732,1
c,dsc,CWE-78,6
c,qwen,CWE-120,65
c,qwen,CWE-126,48
c,qwen,CWE-190,4
c,qwen,CWE-20,10
c,qwen,CWE-327,3
c,qwen,CWE-328,3
c,qwen,CWE-362,20
c,qwen,CWE-367,1
c,qwen,CWE-377,3
c,qwen,CWE-415,1
c,qwen,CWE-676,52
c,qwen,CWE-732,1
c,qwen,CWE-78,5
c,qwen,CWE-787,2
java,human,CWE-20,1
java,human,CWE-327,2
java,human,CWE-470,1
java,human,CWE-489,5
java,human,CWE-501,1
java,human,CWE-532,7
java,human,CWE-611,3
java,human,CWE-649,1
java,human,CWE-78,1
java,human,CWE-798,1
java,human,CWE-89,4
java,openai,CWE-1004,1
java,openai,CWE-20,1
java,openai,CWE-209,3
java,openai,CWE-22,16
java,openai,CWE-259,2
java,openai,CWE-295,2
java,openai,CWE-319,4
java,openai,CWE-326,1
java,openai,CWE-327,5
java,openai,CWE-328,3
java,openai,CWE-330,3
java,openai,CWE-352,1
java,openai,CWE-470,4
java,openai,CWE-489,30
java,openai,CWE-501,1
java,openai,CWE-502,1
java,openai,CWE-532,26
java,openai,CWE-611,6
java,openai,CWE-614,1
java,openai,CWE-776,4
java,openai,CWE-78,2
java,openai,CWE-798,5
java,openai,CWE-89,5
java,openai,CWE-918,1
java,openai,CWE-94,1
java,dsc,CWE-1004,1
java,dsc,CWE-20,1
java,dsc,CWE-209,15
java,dsc,CWE-22,18
java,dsc,CWE-259,4
java,dsc,CWE-295,1
java,dsc,CWE-319,4
java,dsc,CWE-321,3
java,dsc,CWE-326,2
java,dsc,CWE-327,4
java,dsc,CWE-328,2
java,dsc,CWE-330,3
java,dsc,CWE-352,1
java,dsc,CWE-470,4
java,dsc,CWE-489,71
java,dsc,CWE-501,1
java,dsc,CWE-532,59
java,dsc,CWE-611,5
java,dsc,CWE-614,1
java,dsc,CWE-776,5
java,dsc,CWE-78,2
java,dsc,CWE-798,6
java,dsc,CWE-89,7
java,dsc,CWE-94,1
java,qwen,CWE-1004,1
java,qwen,CWE-20,1
java,qwen,CWE-209,9
java,qwen,CWE-295,1
java,qwen,CWE-319,2
java,qwen,CWE-326,3
java,qwen,CWE-327,4
java,qwen,CWE-352,1
java,qwen,CWE-470,3
java,qwen,CWE-489,37
java,qwen,CWE-501,1
java,qwen,CWE-502,2
java,qwen,CWE-532,30
java,qwen,CWE-611,7
java,qwen,CWE-614,1
java,qwen,CWE-649,1
java,qwen,CWE-78,2
java,qwen,CWE-798,3
java,qwen,CWE-89,3
python,human,CWE-116,1
python,human,CWE-319,2
python,human,CWE-330,3
python,human,CWE-400,7
python,human,CWE-611,1
python,human,CWE-706,1
python,human,CWE-754,5
python,human,CWE-78,8
python,human,CWE-79,1
python,human,CWE-89,1
python,human,CWE-939,2
python,human,CWE-95,4
python,openai,CWE-1104,2
python,openai,CWE-116,2
python,openai,CWE-276,1
python,openai,CWE-319,3
python,openai,CWE-330,4
python,openai,CWE-400,26
python,openai,CWE-502,1
python,openai,CWE-611,9
python,openai,CWE-706,2
python,openai,CWE-78,37
python,openai,CWE-79,2
python,openai,CWE-798,3
python,openai,CWE-89,4
python,openai,CWE-939,6
python,openai,CWE-95,6
python,dsc,CWE-1104,2
python,dsc,CWE-116,2
python,dsc,CWE-276,1
python,dsc,CWE-319,12
python,dsc,CWE-327,1
python,dsc,CWE-330,4
python,dsc,CWE-400,39
python,dsc,CWE-502,1
python,dsc,CWE-611,11
python,dsc,CWE-706,2
python,dsc,CWE-78,39
python,dsc,CWE-79,3
python,dsc,CWE-798,2
python,dsc,CWE-89,4
python,dsc,CWE-95,5
python,qwen,CWE-1104,1
python,qwen,CWE-116,2
python,qwen,CWE-22,1
python,qwen,CWE-295,1
python,qwen,CWE-319,5
python,qwen,CWE-327,1
python,qwen,CWE-330,5
python,qwen,CWE-400,27
python,qwen,CWE-611,10
python,qwen,CWE-706,2
python,qwen,CWE-754,1
python,qwen,CWE-78,30
python,qwen,CWE-79,2
python,qwen,CWE-89,2
python,qwen,CWE-95,3
c,claude,CWE-120,61
c,claude,CWE-126,38
c,claude,CWE-190,1
c,claude,CWE-20,10
c,claude,CWE-362,18
c,claude,CWE-377,2
c,claude,CWE-676,23
c,claude,CWE-732,1
c,claude,CWE-78,6
java,claude,CWE-20,1
java,claude,CWE-319,2
java,claude,CWE-327,2
java,claude,CWE-470,4
java,claude,CWE-501,1
java,claude,CWE-532,13
java,claude,CWE-611,4
java,claude,CWE-614,1
java,claude,CWE-78,1
java,claude,CWE-798,2
java,claude,CWE-89,2
python,claude,CWE-1104,2
python,claude,CWE-116,2
python,claude,CWE-276,1
python,claude,CWE-319,2
python,claude,CWE-327,1
python,claude,CWE-330,3
python,claude,CWE-400,6
python,claude,CWE-611,7
python,claude,CWE-706,1
python,claude,CWE-78,26
python,claude,CWE-79,3
python,claude,CWE-89,2
python,claude,CWE-939,4
python,claude,CWE-95,5
