scope,author,metric,incidence
python,dsc,ODC:Timing/Serialization,0.0
python,dsc,ODC:Function/Class/Object,0.255
python,dsc,any_defect,0.895
python,dsc,any_vulnerability,0.545
python,qwen,ODC:Assignment,0.62
python,qwen,ODC:Algorithm,0.17
python,qwen,ODC:Interface,0.365
python,qwen,ODC:Checking,0.27
python,qwen,ODC:Timing/Serialization,0.0
python,qwen,ODC:Function/Class/Object,0.205
python,qwen,any_defect,0.855
python,qwen,any_vulnerability,0.415
java,claude,ODC:Assignment,0.1
java,claude,ODC:Algorithm,0.25
java,claude,ODC:Interface,0.02
java,claude,ODC:Checking,0.4
java,claude,ODC:Timing/Serialization,0.11
java,claude,ODC:Function/Class/Object,0.035
java,claude,any_defect,0.645
java,claude,any_vulnerability,0.16
java,human,ODC:Assignment,0.115
java,human,ODC:Algorithm,0.21
java,human,ODC:Interface,0.01
java,human,ODC:Checking,0.315
java,human,ODC:Timing/Serialization,0.09
java,human,ODC:Function/Class/Object,0.035
java,human,any_defect,0.575
java,human,any_vulnerability,0.125
java,openai,ODC:Assignment,0.24
java,openai,ODC:Algorithm,0.3
java,openai,ODC:Interface,0.195
java,openai,ODC:Checking,0.485
java,openai,ODC:Timing/Serialization,0.06
java,openai,ODC:Function/Class/Object,0.15
java,openai,any_defect,0.86
java,openai,any_vulnerability,0.42
java,dsc,ODC:Assignment,0.25
java,dsc,ODC:Algorithm,0.275
java,dsc,ODC:Interface,0.23
java,dsc,ODC:Checking,0.685
java,dsc,ODC:Timing/Serialization,0.13
java,dsc,ODC:Function/Class/Object,0.305
java,dsc,any_defect,0.945
java,dsc,any_vulnerability,0.595
java,qwen,ODC:Assignment,0.225
java,qwen,ODC:Algorithm,0.23
java,qwen,ODC:Interface,0.03
java,qwen,ODC:Checking,0.4
java,qwen,ODC:Timing/Serialization,0.105
java,qwen,ODC:Function/Class/Object,0.055
java,qwen,any_defect,0.705
java,qwen,any_vulnerability,0.36
c,claude,ODC:Assignment,0.17
c,claude,ODC:Algorithm,0.23
c,claude,ODC:Interface,0.41
c,claude,ODC:Checking,0.105
c,claude,ODC:Timing/Serialization,0.125
c,claude,ODC:Function/Class/Object,0.045
c,claude,any_defect,0.685
c,claude,any_vulnerability,0.465
c,human,ODC:Assignment,0.3
c,human,ODC:Algorithm,0.25
c,human,ODC:Interface,0.35
c,human,ODC:Checking,0.05
c,human,ODC:Timing/Serialization,0.115
c,human,ODC:Function/Class/Object,0.035
c,human,any_defect,0.72
c,human,any_vulnerability,0.4
c,openai,ODC:Assignment,0.275
c,openai,ODC:Algorithm,0.26
c,openai,ODC:Interface,0.405
c,openai,ODC:Checking,0.06
c,openai,ODC:Timing/Serialization,0.175
c,openai,ODC:Function/Class/Object,0.14
c,openai,any_defect,0.755
c,openai,any_vulnerability,0.595
c,dsc,ODC:Assignment,0.13
c,dsc,ODC:Algorithm,0.315
c,dsc,ODC:Interface,0.45
c,dsc,ODC:Checking,0.215
c,dsc,ODC:Timing/Serialization,0.26
c,dsc,ODC:Function/Class/Object,0.245
c,dsc,any_defect,0.895
c,dsc,any_vulnerability,0.62
c,qwen,ODC:Assignment,0.26
c,qwen,ODC:Algorithm,0.31
c,qwen,ODC:Interface,0.445
c,qwen,ODC:Checking,0.05
c,qwen,ODC:Timing/Serialization,0.19
c,qwen,ODC:Function/Class/Object,0.245
c,qwen,any_defect,0.805
c,qwen,any_vulnerability,0.565
