baseline,language,metric,submission,baseline_value,delta,ci_lo,ci_hi,n
qwen,java,vulnerability_free_rate,0.84,0.64,0.2,0.135,0.27,200
qwen,java,high_severity_free_rate,0.975,0.94,0.035,0.01,0.065,200
qwen,java,clean_nonstub_at_1,0.32,0.085,0.235,0.175,0.295,200
qwen,java,clean_strict_at_1,0.32,0.08,0.24,0.18,0.3,200
qwen,python,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
qwen,python,parseable_rate,1.0,1.0,0.0,0.0,0.0,200
qwen,python,target_present_rate,1.0,0.98,0.02,0.005,0.04,200
qwen,python,nonstub_rate,1.0,0.875,0.125,0.08,0.175,200
qwen,python,strict_nontrivial_rate,1.0,0.875,0.125,0.08,0.175,200
qwen,python,defect_free_rate,0.37,0.145,0.225,0.16,0.29,200
qwen,python,vulnerability_free_rate,0.72,0.585,0.135,0.065,0.205,200
qwen,python,high_severity_free_rate,0.925,0.885,0.04,0.01,0.075,200
qwen,python,clean_nonstub_at_1,0.275,0.055,0.22,0.155,0.285,200
qwen,python,clean_strict_at_1,0.275,0.055,0.22,0.155,0.29,200
human,c,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
human,c,parseable_rate,0.995,1.0,-0.005,-0.015,0.0,200
human,c,target_present_rate,1.0,1.0,0.0,0.0,0.0,200
human,c,nonstub_rate,0.995,1.0,-0.005,-0.015,0.0,200
human,c,strict_nontrivial_rate,0.995,1.0,-0.005,-0.015,0.0,200
human,c,defect_free_rate,0.315,0.28,0.035,-0.03,0.105,200
human,c,vulnerability_free_rate,0.535,0.6,-0.065,-0.13,0.0,200
human,c,high_severity_free_rate,0.86,0.85,0.01,-0.045,0.065,200
human,c,clean_nonstub_at_1,0.14,0.17,-0.03,-0.09,0.03,200
human,c,clean_strict_at_1,0.14,0.17,-0.03,-0.095,0.03,200
human,java,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
human,java,parseable_rate,1.0,1.0,0.0,0.0,0.0,200
human,java,target_present_rate,1.0,1.0,0.0,0.0,0.0,200
human,java,nonstub_rate,1.0,1.0,0.0,0.0,0.0,200
human,java,strict_nontrivial_rate,1.0,1.0,0.0,0.0,0.0,200
human,java,defect_free_rate,0.355,0.425,-0.07,-0.14,0.005,200
human,java,vulnerability_free_rate,0.84,0.875,-0.035,-0.085,0.015,200
human,java,high_severity_free_rate,0.975,0.975,0.0,-0.02,0.02,200
human,java,clean_nonstub_at_1,0.32,0.39,-0.07,-0.14,-0.005,200
human,java,clean_strict_at_1,0.32,0.39,-0.07,-0.14,0.0,200
human,python,submitted_rate,1.0,1.0,0.0,0.0,0.0,200
human,python,parseable_rate,1.0,1.0,0.0,0.0,0.0,200
human,python,target_present_rate,1.0,1.0,0.0,0.0,0.0,200
human,python,nonstub_rate,1.0,1.0,0.0,0.0,0.0,200
human,python,strict_nontrivial_rate,1.0,1.0,0.0,0.0,0.0,200
human,python,defect_free_rate,0.37,0.38,-0.01,-0.08,0.065,200
human,python,vulnerability_free_rate,0.72,0.845,-0.125,-0.195,-0.06,200
human,python,high_severity_free_rate,0.925,0.985,-0.06,-0.1,-0.025,200
human,python,clean_nonstub_at_1,0.275,0.315,-0.04,-0.11,0.03,200
human,python,clean_strict_at_1,0.275,0.315,-0.04,-0.11,0.03,200
